STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/1,0,-10.45,-7.1,-13.8
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/2,0,-6.85,-3.2,-10.5
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/3,0,-4.9,-1,-8.8
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/4,19.3,-4.35,-1.6,-7.1
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/5,0,-9.9,-7.1,-12.7
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/6,0,-12.4,-10.5,-14.3
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/7,0,-11.3,-7.7,-14.9
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/8,0.3,-4.35,-0.5,-8.2
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/9,0,2.85,6.7,-1
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/10,0,2.55,6.1,-1
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/11,0,8.35,11.7,5
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/12,13.7,11.4,16.1,6.7
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/13,1.3,3.65,14.4,-7.1
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/14,0,-6.55,-3.8,-9.3
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/15,0,-4.9,-1,-8.8
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/16,0,-0.8,2.2,-3.8
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/17,4.8,-1.65,2.2,-5.5
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/18,0,-3.85,0,-7.7
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/19,0,0.35,5,-4.3
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/20,0,7.2,11.1,3.3
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/21,0,7.8,10,5.6
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/22,0.3,6.35,9.4,3.3
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/23,7.6,9.45,15.6,3.3
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/24,0,2,6.7,-2.7
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/25,0,-1.9,1.1,-4.9
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/26,0,0.05,3.3,-3.2
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/27,0,7.5,13.3,1.7
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/28,5.3,10.3,12.8,7.8
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/29,0,5,8.3,1.7
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/30,2.8,-1.05,2.2,-4.3
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/1/31,0,-3.55,0.6,-7.7
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/2/1,1.3,3.6,7.2,0
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/2/2,4.6,-1.6,5,-8.2
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2018/2/3,0,-4.65,-0.5,-8.8
